Código Plan;Carrera;Cohorte;Número de alumno;Bloqueo;Causal Bloqueo;RUN;DV;Nombres;;Primer Apellido;Segundo Apellido;Logro;Fecha Logro;Última Carga
WH1;Hechicería;2013-01;389368;N;Sin Bloqueo;18678398;7;DELCA;ALEJAN;AROCA;LAFFERTE;1 AÑO;2013-01;2013-01
WH2;Hechicería;2020-01;388287;N;Sin Bloqueo;5773878;8;COLOMBA;DANYA;QUEZADA;TOPP;INGRESO;2020-01;
WH2;Hechicería;2020-01;467288;N;Sin Bloqueo;18316956;6;GAMAL;ARMANDINA;NIVIN;SAMUR;INGRESO;2020-01;
HP2;Magia;2022-01;655765;N;Sin Bloqueo;20185091;7;ARISTÍDES;KATHERYNE;FEJES;DE RUYT;INGRESO;2022-01;
HP2;Magia;2022-01;474764;N;Sin Bloqueo;21409877;2;CHRISTOFHER;GERHARD;SCHILLING;BADANI;INGRESO;2022-01;
HP2;Magia;2022-01;463763;N;Sin Bloqueo;8509444;6;NAYRA;ELAINE;MANSO;ARELLANO;INGRESO;2022-01;
HP2;Magia;2022-01;493762;N;Sin Bloqueo;16796437;4;CARMIÑA;GIANNY;LAM;ALUCEMA;INGRESO;2022-01;
PH1;Magia;2022-01;615952;N;Sin Bloqueo;24231776;0;HENID;PURISIMA;CHANDIA;JAIME;INGRESO;2022-01;
HP2;Magia;2022-01;458769;N;Sin Bloqueo;14813687;1;ESTER;NATALY;ALONSO;ALMONTE;INGRESO;2022-01;
HP2;Magia;2022-02;448789;S;BLOQUEO POR NO INSCRIPCION;9327234;5;CAROLA;NEO;LILLO;INZUNZA;INGRESO;2022-02;
HP2;Magia;2023-01;504911;S;SUSPENSION DE ESTUDIOS;6843987;4;ALBER;LUKAS;SEMMLER;SPENCER;INGRESO;2023-01;
HW2;Magia;2023-01;449386;N;Sin Bloqueo;17809098;6;JOHANA;IANN;VINET;MONTAÑO;1 SEMESTRE;2024-01;2024-02
HP2;Magia;2023-01;521988;N;Sin Bloqueo;14098509;7;AMANDA;VANESA;VILLAR;TORREBLANCA;INGRESO;2023-01;
HP2;Magia;2023-01;492005;N;Sin Bloqueo;25843105;3;CATALINA;ROSSIE;BOBADILLA;DUNSTAN;INGRESO;2023-01;
HP2;Magia;2023-01;616000;S;CAMBIO DE PLAN O CARRERA;21794235;1;NOREDY;GRISEL;MURGA;DUBO;INGRESO;2023-01;
HP2;Magia;2023-02;385008;S;BLOQUEO POR INTERCAMBIO;17734410;2;ROGER;ESTEPHANIE;GONZÁLEZ;WATKINS;INGRESO;2023-02;
HP2;Magia;2023-02;399009;S;CAMBIO DE PLAN O CARRERA;10055195;5;DONKA;BERNABÉ;HERNANDEZ;ALBARRAN;INGRESO;2023-02;
HP1;Magia;1999-01;484055;S;BLOQUEO POR NO INSCRIPCION;8448392;0;ANDRÉS;NAYARE;LEIGHTON;LEMUS;INGRESO;1999-01;1999-01
HP1;Magia;2001-01;502233;S;BLOQUEO POR NO INSCRIPCION;16965559;3;ALIN;KIMIE;REQUENA;CELEDON;INGRESO;2001-01;2001-02
HP1;Magia;1999-01;534053;S;BLOQUEO POR NO INSCRIPCION;10355093;1;ZITA;YASSEL;GARVIZO;LEFORT;INGRESO;1999-01;1999-01
HW1;Magia;2005-02;481689;S;SUSPENSION DE ESTUDIOS;10838564;4;DELALUZ;AURORA;LABBE;ERAZO;INGRESO;2005-02;
HP1;Magia;1992-01;601373;S;BLOQUEO POR NO INSCRIPCION;4909616;7;MAURI;ARMANDO;LABORDE;CARRION;INGRESO;1992-01;1998-02
HW1;Magia;2000-01;488325;S;ALUMNO EGRESADO;17394618;6;FABRIZIO;RALLEN;GUAMÁN;MAC-INNES;QUINTO AÑO - EGRESO;2006-01;2006-01
HP1;Magia;2001-01;576123;S;BLOQUEO POR EXPEDIENTE SIN CALIFICACIONES, CONVALIDACIONES NI INSCRIPCION;12921878;4;RAISBEL;CRISTÓBAL;THIELEMANN;SUTHERLAND;INGRESO;2001-01;
HP1;Magia;1989-01;642646;S;BLOQUEO POR NO INSCRIPCION;9356329;4;ARACE;ADRIANA;MICHEA;BUCAREY;INGRESO;1989-01;1998-01
HW1;Magia;2000-01;607409;N;Sin Bloqueo;20053287;4;SCARLETH;LESLIA;CASTIBLANCO;CARIZ;INGRESO;2000-01;2005-02
HW2;Magia;2005-01;650008;S;ALUMNO CON DEUDA MOROSA;10886944;2;ELBA;DANITZA;VALDIVIESO;CAYUQUEO;3 SEMESTRE;2007-02;2007-02
HW1;Magia;2000-01;637391;S;BLOQUEO POR NO INSCRIPCION;7791993;1;STEFANIA;ENGHEL;BANDELLI;POL;INGRESO;2000-01;2000-02
HW2;Magia;2005-01;421112;S;BLOQUEO POR NO INSCRIPCION;9399314;3;SIMON;ANDRES;MILLAQUEO;BARRA;8 SEMESTRE;2011-02;2011-02
HW1;Magia;2008-02;408806;S;BLOQUEO POR NO INSCRIPCION;18917759;2;KARYN;ROMAN;ABALOS;GAETE;CUARTO AÑO;2008-02;2008-02
HP1;Magia;1995-01;395981;S;ALUMNO EGRESADO;21511139;8;ARELY;PATRICIO;MAURO;VERNAL;QUINTO AÑO- EGRESO;2000-01;2000-01
HW2;Magia;2008-02;546038;S;BLOQUEO POR NO INSCRIPCION;19546071;7;WLADIMIR;FERNANDEZ;LACOSTE;BELLINGHAUSEN;10 SEMESTRE - EGRESO;2013-02;2013-02
HP1;Magia;1986-01;558718;S;BLOQUEO POR NO INSCRIPCION;14521962;8;YANARA;JEANS;MAZUELA;OLATE;INGRESO;1985-01;
HW1;Magia;2001-01;459364;S;BLOQUEO POR EXPEDIENTE SIN CALIFICACIONES, CONVALIDACIONES NI INSCRIPCION;6175568;8;ROCÍO;SAUL;PARAUD;BELMAR;INGRESO;2001-01;
PH2;Magia;2005-01;525035;S;ELIMINADO POR INCUMPLIMIENTO DE NORMATIVA - NO SE APROBO EL MINIMO DE ASIGNATURAS O CREDITOS DEFINIDO;16785757;8;YENY;EDGARD;CHAMEAUT;SALVADO;2 SEMESTRE;2006-02;2009-01
HW1;Magia;2002-01;466320;S;ALUMNO EGRESADO;25150706;K;ENGHEL;CHRISTIANS;CANTILLANO;CHEHADE;QUINTO AÑO - EGRESO;2006-02;2006-02
HW1;Magia;2002-01;419335;S;BLOQUEO POR NO INSCRIPCION;18037648;K;EPIFANIA;WENDY;MEDEL;HAMASAKI;INGRESO;2002-01;2003-01
HW2;Magia;2012-01;645058;N;Sin Bloqueo;16744617;7;LEONOR;ENRIQUEZ;PASTORIZA;PICEROS;INGRESO;2012-01;
HW1;Magia;2000-01;593390;S;BLOQUEO POR NO INSCRIPCION;14333328;7;ABLO;PAZBELÉN;MULCHI;FICA;INGRESO;2000-01;2002-01
HW1;Magia;2000-01;478396;S;ALUMNO EGRESADO;8441459;9;KENNY;PABLORAIM;ZERENE;GALARCE;CUARTO AÑO;2004-01;2005-01
HW1;Magia;2000-01;381412;S;ALUMNO EGRESADO;20046479;8;ELIEZER;DANNAE;PROVIDELL;COBOS;QUINTO AÑO - EGRESO;2005-02;2005-02
HP2;Magia;2007-01;604077;S;ALUMNO CON DEUDA MOROSA;16575612;6;MERCEDES;SAMIR;MANCILLA;CÓRDOVA;INGRESO;2007-01;2007-02
HW1;Magia;2002-01;388381;S;BLOQUEO POR NO INSCRIPCION;9509629;5;FELIP;NILIMA;MURUA;OSSES;INGRESO;2002-01;2002-01
HW1;Magia;2001-01;598413;S;ELIMINADO POR INCUMPLIMIENTO DE NORMATIVA - NO SE APROBO EL MINIMO DE ASIGNATURAS O CREDITOS DEFINIDO;22253570;7;CRISTI;TERESA;BRITO;FLORIDO;PRIMER AÑO;2004-01;2004-01
HP1;Magia;1991-01;544563;S;BLOQUEO POR NO INSCRIPCION;12034277;6;SOL;NESTOR;MENDEL;TORRIJO;INGRESO;1991-01;1996-02
HW2;Magia;2008-02;398039;S;ALUMNO EGRESADO;12047085;6;ARCHIVALDO;SAVKA;HUARAPIL;OLATE;10 SEMESTRE - EGRESO;2022-02;2022-02
HW1;Magia;2003-01;436339;S;ALUMNO EGRESADO;24884291;0;ZITA;BENITO;JOCIC;FONTALVO;QUINTO AÑO - EGRESO;2015-01;2015-01
HP1;Magia;1996-01;639714;S;BLOQUEO POR NO INSCRIPCION;4418023;2;KATHIA;CARMEN;COLLONAO;BEYER;INGRESO;1996-01;1998-02
HP1;Magia;1985-01;375724;S;BLOQUEO POR NO INSCRIPCION;16385852;7;KAROL;INGEBORD;NARVAES;RETAMAL;INGRESO;1985-01;1992-01
PH2;Magia;2005-01;438040;S;BLOQUEO POR NO INSCRIPCION;25094303;8;JISSELE;SERGIO;ZIGANTE;GILLIBRAND;2 SEMESTRE;2005-02;2005-02
HW1;Magia;2002-01;615329;S;BLOQUEO POR NO INSCRIPCION;16490873;6;IVICA;VICTO;UMAÑA;OLIVA;INGRESO;2002-01;2003-01
HP1;Magia;1996-01;590741;S;BLOQUEO POR NO INSCRIPCION;8131890;7;KURTH;AMARA;ALZAMORA;ABARCA;INGRESO;1996-01;1997-01
HW1;Magia;2000-01;392397;S;ALUMNO EGRESADO;23083071;K;ALYSON;JEFFERSON;RUBINEK;RICCI;QUINTO AÑO - EGRESO;2006-02;2006-02
HW1;Magia;2000-01;525416;S;ALUMNO LICENCIADO;12547677;1;ALEXANDRE;VIARLY;FISCHER;POZA;CUARTO AÑO;2006-01;2007-01
HP1;Magia;1990-01;490666;S;ALUMNO CON DEUDA MOROSA;15944651;0;GLENDA;VALENTINO;RUMINOT;REYNOSO;INGRESO;1990-01;1995-01
HW1;Magia;1990-01;587842;S;ALUMNO EGRESADO;5248213;0;DAIANA;ELWOOD;CANESSA;HUENCHULEO;QUINTO AÑO - EGRESO;2005-01;2005-01
HW2;Magia;2008-01;377931;S;BLOQUEO POR NO INSCRIPCION;18273402;1;GABRIEL;MARCIAL;ALUCEMA;DEPAUX;LICENCIATURA EN CIENCIAS JURIDICAS Y SOCIALES;2016-01;2016-01
HP1;Magia;1993-01;437297;S;ALUMNO EGRESADO;7388900;9;DIANE;MAHATMA;LEVY;PEREZ-YOSEF;INGRESO;1993-01;1997-01
HW1;Magia;2001-01;407421;S;BLOQUEO POR NO INSCRIPCION;8537577;8;FRANCES;YASSEL;KLEIN;JORDANA;INGRESO;2001-01;2001-02
HW2;Magia;2017-01;384820;N;Sin Bloqueo;13396977;8;ALFONSINA;ORIANA;RIZIK;LASSERRE;INGRESO;2017-01;
HW1;Magia;2003-01;481333;N;Sin Bloqueo;12525678;0;MARCO;SAMIR;TIEDEMANN;VAILLANT;QUINTO AÑO - EGRESO;2008-01;2008-01
HP1;Magia;1985-01;532764;S;ALUMNO EGRESADO;25190034;5;DAMIÁN;IRIS;SAN CRISTÓBAL;JULIÁ;CUARTO AÑO;1989-01;1992-01
GH1;Magia;2003-01;541048;S;ALUMNO CON DEUDA MOROSA;13269680;1;PETER;FLOREN;ROVANO;ALCA;PRIMER AÑO;2003-02;2003-02
HW2;Magia;2006-01;618237;S;ALUMNO CON DEUDA MOROSA;8973098;4;LIZETTE;ILIA;TARTARI;OBRIEN;INGRESO;2006-01;2007-02
