Código Plan;Plan;Cohorte;Sede;RUN;DV;Nombres;Apellido Paterno;Apellido Materno;Número de alumno;Periodo Asignatura;Código Asignatura;Asignatura;Convocatoria;Calificación;Nota
WH2;Hechicería PLAN 2016  (SEDE Hogwards);2013-01;Hogwarts;20770750;0;IDANA;AGUERO;ALISTE;544417;2019-01;WH236032; CONCURSO DE ESCUELAS;DIC;MM;1
WH2;Hechicería PLAN 2016  (SEDE Hogwards);2013-01;Hogwarts;20770750;0;IDANA;AGUERO;ALISTE;544417;2020-02;WH236032; CONCURSO DE ESCUELAS;DIC;SU;4
WH2;Hechicería PLAN 2016  (SEDE Hogwards);2014-01;Hogwarts;24560109;1;NOHEMI;CALBACHO;AMBUL;568432;2020-02;WH236032; CONCURSO DE ESCUELAS;DIC;SU;4,1
WH2;Hechicería PLAN 2016  (SEDE Hogwards);2014-01;Hogwarts;5752371;K;FEZZAN;SUNKO;ALMARCEGUI;438463;2022-02;WH236032; CONCURSO DE ESCUELAS;DIC;B;5,6
WH2;Hechicería PLAN 2016  (SEDE Hogwards);2014-01;Hogwarts;12989682;4;VALERI;BOU;ZAMBRANO;466434;2020-02;WH236032; CONCURSO DE ESCUELAS;DIC;SU;4,1
WH2;Hechicería PLAN 2016  (SEDE Hogwards);2016-01;Hogwarts;22600533;3;RUBY;AGUAYO;OLIVOS;653022;2019-02;WH236032; CONCURSO DE ESCUELAS;DIC;SU;4,5
WH2;Hechicería PLAN 2016  (SEDE Hogwards);2016-01;Hogwarts;21727561;7;PABLO;ANDREWS;MATTE;485030;2019-02;WH236032; CONCURSO DE ESCUELAS;DIC;MB;6,3
WH2;Hechicería PLAN 2016  (SEDE Hogwards);2016-01;Hogwarts;20848048;4;SANTI;PIÉROLA;COLMENARES;575021;2019-02;WH236032; CONCURSO DE ESCUELAS;DIC;B;5,1
WH2;Hechicería PLAN 2016  (SEDE Hogwards);2016-01;Hogwarts;24686362;0;VALENTIN;CALIXTO;BARKOS;373031;2019-02;WH236032; CONCURSO DE ESCUELAS;DIC;MB;6
WH2;Hechicería PLAN 2016  (SEDE Hogwards);2016-01;Hogwarts;16782644;1;CARMEN;BAQUEDANO;ARRIAZA;601028;2021-02;WH236032; CONCURSO DE ESCUELAS;DIC;MB;6,3
WH2;Hechicería PLAN 2016  (SEDE Hogwards);2016-01;Hogwarts;6058843;2;GEORGIN;ROLDÁN;VICENCIO;494015;2019-02;WH236032; CONCURSO DE ESCUELAS;DIC;B;5,6
WH2;Hechicería PLAN 2016  (SEDE Hogwards);2016-01;Hogwarts;24516541;9;GIEZI;BISKUPOVIC;NIEVAS;465027;2019-02;WH236032; CONCURSO DE ESCUELAS;DIC;SO;6,8
WH2;Hechicería PLAN 2016  (SEDE Hogwards);2016-01;Hogwarts;24648905;3;GLADY;CRAIG;VALDÉS;516034;2019-02;WH236032; CONCURSO DE ESCUELAS;DIC;B;5,2
WH2;Hechicería PLAN 2016  (SEDE Hogwards);2016-01;Hogwarts;16929709;9;PASCAL;MOLLA;FORNO;431041;2019-02;WH236032; CONCURSO DE ESCUELAS;DIC;B;5,1
WH2;Hechicería PLAN 2016  (SEDE Hogwards);2016-01;Hogwarts;21795177;K;JADIYE;DE LAIRE;ESPÍNOLA;585003;2019-02;WH236032; CONCURSO DE ESCUELAS;DIC;MB;6,2
WH2;Hechicería PLAN 2016  (SEDE Hogwards);2016-01;Hogwarts;9918083;K;TRINIDAD;SAN MARTÍN;MANQUIÁN;499024;2019-02;WH236032; CONCURSO DE ESCUELAS;DIC;MB;6,4
